Devices;;;;;;;;;;;;;;;;;;;;;
smartphone;Android;Sony;Xperia X Compact;4.6'';IPS;720 x 1280 px = HD;Qualcomm Snapdragon 650;Qualcomm Adreno 510;barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2700 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);129 x 65 x 9.5 mm;135 g;no;2.0 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia X Performance;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2700 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);144.8 x 71.1 x 8.7 mm;165 g;IP 68;2.0 , micro-B;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2900 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55mm    1.118µm    22.85 MP    (back) , 12.98 MP    (front);146 x 72 x 8.1 mm;161 g;IP 68;2.0 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ1;5.2’’;Corning Gorilla Glass 5 , IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , compass , accelerometer , light , proximity , Wi-Fi , Bluetooth 5 , GPS;2700 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.0    19.3 MP    (back) , 12.98 MP    (front);148 x 73 x 7.4 mm;155g;IP 68 , IP 65;3.1 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ1 Compact;4.6’’;?;720 x 1280 px = HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , compass , accelerometer , light , proximity , Wi-Fi, Bluetooth 5.0 , GPS;2700 mAh , Li-Polymer;32 GB;4 GB;CMOS    f/2.0    19.3 MP    (back) , 12.98 MP    (front);129 x 65 x 9.3 mm;143 g;IP 68 , IP 65;3.1 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;XZ2;5.7’’;Corning Gorilla Glass 5 , IPS;1080 x 2160 px = Full HD;Qualcomm Snapdragon 845;Qualcomm Adreno 630;Hall sensor , fingerprint , face detection , compass , accelerometer , light , proximity , Wi-Fi (a,b,g,n,ac) , Bluetooth 5.0 , GPS , GLONASS , BeiDou , Galileo;3180 mAh , Li-Polymer;64 GB;4 GB , 6GB;CMOS    f/2.0    19.2 MP    (back) , 5.04 MP    (front);153 x 72 x 11.1 mm;198 g;IP 68 , IP 65;3.1 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;XZ2 Compact;5’’;Corning Gorilla Glass 5 , IPS;1080 x 2160 px = Full HD;Qualcomm Snapdragon 845;Qualcomm Adreno 630;Hall sensor , fingerprint , face detection , compass , accelerometer , light , proximity , Wi-Fi (a,b,g,n,ac) , Bluetooth 5.0 , GPS , GLONASS , BeiDou , Galileo;2870 mAh , Li-Polymer;64 GB;4 GB , 6GB;;135 x 65 x 12.1mm;168 g;IP 68 , IP 65;3.1 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XA2 Ultra;6’’;Corning Gorilla Glass , IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 630;Qualcomm Adreno 508;Hall sensor , fingerprint , proximity , light , accelerometer , compass , Wi-Fi a b g n ac , Bluetooth 5 , GPS , GLONASS , A-GPS , NFC;3580  mAh , Li-Polymer;32 GB , 64 GB;4 GB;Sony Exmor RS CMOS    f/2.0    15.83 MP    (back) , ? (back);163 x 80 x 9.5 mm;221g;?;2.0 , C;microSD;nano;Xperia UI;;
smartphone;Android;Sony;Xperia XZ3;6’’;Corning Gorilla Glass 5 , OLED;1440 x 2880 px = QH +;Qualcomm Snapdragon 845;Qualcomm Adreno 630;Hall sensor , fingerprint , barometer , proximity , light , accelerometer , compass , Wi-Fi a b g n ac , Bluetooth 5 , GPS , GLONASS , A-GPS , Galileo , NFC;3330 mAh , Li-Polymer;64 GB;4 GB , 6 GB;CMOS    1.2µm    f/2.0    19.2 MP    (back) , 12.98 MP    (front);158 x 73 x 9.9 mm;193 g;IP 68;3.1 , C;microSD;nano;Xperia UI;;
smartphone;Android;Asus;ZenFone 3 Deluxe;5.7'';Corning Gorilla Glass 4 , Super AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Ion;64  GB , 128 GB;4 GB;Sony Exmor IMX318 RS    CMOS    5.49x4.11 mm    1 µm    f/2.0    22.57 MP    (back) , 2.07 MP    (front);156.4 x 77.4 x 7.5 mm;170 g;no;3.0 , C;microSD;nano , micro;Zen UI;;
smartphone;Android;Asus;ZenFone AR;5.7'';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;Tango ready , Daydream ready , Hall sensor , fingerprint , proximity , light , barometer , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3300 mAh , Li-Polymer;32 GB , 64 GB , 128 GB , 256 GB;6 GB , 8GB;Sony Exmor IMX318 RS    CMOS    5.49x4.11 mm    1 µm    f/2.0    22.57 MP    (back) , 2.07 MP    (front);158.67 x 77.7 x 8.95 mm;170 g;no;2.0 , C;microSD;nano , nano;Zen UI;;
smartphone;Android;Asus;ZenFone 4 Pro;5.5’’;Corning Gorilla Class , AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3600 mAh , Li-Polymer;64 GB;6 GB;Sony Exmor IMX362 RS    CMOS    f/1.7    12.19 MP    (back) , 7.99 MP    (front);156.9 x 75.6 x 7.6 mm;175 g;no;2.0 , C;microSD;nano , nano;ZenUI 4.0;;
smartphone;Android;Asus;ZenFone 5Z;6.2’’;Corning Gorilla Class , IPS;1080 x 2246 px = Full HD;Qualcomm Snapdragon 845;Qualcomm Adreno 630;Hall sensor , fingerprint , face recognition , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS , GLONASS , BeiDou , Galileo , Wi-Fi (a,b,g,n,ac);3300 mAh , Li-Polymer;64 GB , 128 GB , 256 GB;4 GB , 6 GB , 8 GB;Sony IMX363    Exmor    RS    CMOS    f/1.8    12 MP (back) , 20 MP (front);153 x 75.76 x 7.85 mm;155 g;no;2.0 , C;microSD;nano;ZenUI 5.0;;
smartphone;Android;Asus;ZenFone 5;6.2’’;Corning Gorilla Class , IPS;1080 x 2246 px = Full HD;Qualcomm Snapdragon 636;Qualcomm Adreno 509; fingerprint  , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS , GLONASS , BeiDou , Galileo , Wi-Fi (a,b,g,n,ac);3300 mAh , Li-Polymer;64 GB;4 GB , 6 GB;Sony IMX363    Exmor    RS    CMOS    f/1.8    12 MP (back) , 8 MP (front);153 x 75.65 x 7.85 mm;155 g;no;2.0 , C;microSD;nano;ZenUI 5.0;;
smartphone;Android;Asus;ROG Phone;6’’;Corning Gorilla Glass , AMOLED;1080 x 2160 = Full HD+;Qualcomm Snapdragon 845;Qualcomm Adreno 630;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS , GLONASS , BeiDou , Wi-Fi (a,b,g,n,ac);4000 mAh , Li-Polymer;128 GB , 512 GB;8 GB;Sony IMX363    Exmor    RS    CMOS    f/1.8    12 MP + 8 MP (back) , 8 MP (front);158.83 x 76.16 x 8.65 m;200 g;no;2.0 , C;no;nano , nano;ROG Gaming X Mode UI;;
smartphone;Android;Huawei;Honor 8;5.2'';IPS;1080 x 1920 px = Full HD;Huawei HiSilicon KIRIN 950;ARM Mali-T880 MP4;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;3 GB , 4 GB;Sony IMX286    f/2.2    11.81 MP    (back) , 7.99 MP    (front);145.5 x 71 x 7.45 mm;153 g;no;2.0 , C;microSD;nano , nano;EMUI;;
smartphone;Android;Huawei;Honor 9;5.15’’;IPS;1080 x 1920 px = Full HD;Huawei HiSilicon KIRIN 960;ARM Mali-G71 MP8;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3200 mAh , Li-Polymer;64 GB , 128 GB;4 GB;CMOS    f/2.2    11,81 MP    (back) ,    7.99 MP    (front);147.3 x 70.9 x 7.45 mm;155 g;no;2.0 , C;microSD;nano , nano;Emotion 5.1;;
smartphone;Android;Huawei;Mate 9;5.9'';IPS;1080 x 1920 px = Full HD;Huawei HiSilicon KIRIN 960;ARM Mali-G71 MP8;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;4000 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.2    12.19 MP    (back) , 7.99 MP    (front);156.9 x 78.9 x 7.9 mm;190 g;no;2.0 , C;microSD;nano , nano;EMUI;;
smartphone;Android;Huawei;Nova;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 625;Qualcomm Adreno 506;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;3020 mAh , Li-Polymer;32 GB;3 GB;CMOS    f/2.2    12.19 MP    (back) , 7.99 MP    (front);141.2 x 69.1 x 7.1 mm;146 g;no;2.0 , C;microSD;nano , nano;EMUI;;
smartphone;Android;Huawei;Honor Magic;5.09'';AMOLED;1440 x 2560 px = Quad HD;Huawei HiSilicon KIRIN 950;ARM Cortex A72 , ARM Cortex A53;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;2900 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.2    11.81 MP    (back) , 7.99 MP    (front);146.1 x 69.9 x 7.8 mm;145 g;no;2.0 , C;no;nano;EMUI;;
smartphone;Android;Huawei;P 10;5.1‘’;IPS;1080 x 1920 px = Full HD;Huawei HiSilicon KIRIN 960;ARM Mali-G71 MP8;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;3200 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;4 GB;CMOS    f/1.8    12.19 MP    (back) , 7.99 MP    (front);145.3 x 69.3 x 6.98 mm;145 g;no;2.0 , C;microSD;nano , nano;EMUI;;
smartphone;Android;Huawei;P 20;5.9’’;IPS;1080 x 2240 px = Ful HD;Huawei HiSilicon KIRIN 970;ARM Mali-G72 MP12;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth 4.2 , NFC , GPS , GLONASS , BeiDou , Wi-Fi (a,b,g,n,ac);3400 mAh , Li-Polymer;128 GB;4 GB;CMOS BSI    f/1.8    1.55 µm    11.81 MP    (back) , 23.29 MP (front);149.1 x 70.8 x 7.65 mm;165 g;IP 53;3.1 , C;no;nano , nano;Emotion 8.1;;
smartphone;Android;Xiaomi;Redmi Note 4;5.5'';IPS;1080 x 1920 px = Full HD;MediaTek Helio X20;ARM Mali-T880 MP4;Hall sensor , fingerprint , proximity , light , accelerometer , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;4100 mAh , Li-Polymer;64 GB;3 GB;CMOS   f/2.0   12.98 MP    (back) ,  5.04 MP    (front);151 x 76 x 8.35 mm;175 g;no;2.0 , micro-B;microSD;micro , nano;MIUI;;
smartphone;Android;Xiaomi;Mi Mix;6.4’’;IPS;1080 x 2040px = Full HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;Hall sensor , ultrasonic , fingerprint , proximity , light , accelerometer , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;4400 mAh , Li-Polymer;128 GB;4 GB;OmniVision OV16880    PureCel    4.74 x 3.56 mm    1.029 µm    f/2.0    15.83 MP    (back) , 5.04 MP    (front);158.8 x 81.9 x 7.9 mm;209 g;no;3.0 , C;no;nano;MIUI;;
smartphone;Android;Xiaomi;Mi Mix 2;5.99’’;IPS;1080 x 2160 px;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall , fingerprint , ultrasonic , barometer , gyroscope , compass , light , accelerometer , Bluetooth 5.0 , Wi-Fi , NFC , GPS;3400 mAh , Li-Polymer;128 GB;8 GB;Sony IMX386 Exmor RS    CMOS    4.96x3.72mm    1.23μm    f/2.0    12.19 MP    (back) , 5.04 MP    (front);150.5 x 74.6 x 7.7 mm;187 g;no;3.0 , C;no;nano, nano;MIUI;;
smartphone;Android;Xiaomi;Black Shark;5.99’’;IPS;1080 x 2160 px;Qualcomm Snapdragon 845;Qualcomm Adreno 630;Hall , fingerprint , barometer , gyroscope , compass , light , accelerometer , Bluetooth 5.0 , Wi-Fi a b g n ac  , NFC , GPS , GLONASS , BeiDou;4000 mAh , Li-Polymer;64 GB , 128 GB;6 GB , 8 GB;;161.6 x 75.4 x 0.25;190 g;no;2.0 , C;no;nano;MIUI;;
smartphone;Android;Fairphone;Fairphone 2;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330;proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;2420 mAh , Li-Ion;32 GB;2 GB;OmniVision OV8865    CMOS BSI    4.61 x 3.47    1.414 µm    f/2.2    7.99 MP (back) , 1.91 MP (front);143 x 73 x 11 mm;148 g;no;2.0 , micro-B;microSD;micro;?;;
smartphone;Android;Acer;Liquid Z6 Plus;5.5'';IPS;1080 x 1920 px = Full HD;MediaTek MT6753;ARM Mali-T720 MP3;prroximity , light , accelerometer , fingerprint , Wi-Fi , GPS , Bluetooth;4080 mAh , Li-Polymer;32 GB;3 GB;CMOS    12.98 MP    (front) , 5.04 MP    (back);153.6 x 75.4 x 8.5 mm;168 g;no;2.0 , micro-B;microSD;? , ?;Liquid UI;;
smartphone;Android;Wiko;U Feel Prime;5'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 430;Qualcomm Adreno 505;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3000 mAh , Li-Polymer;32 GB;4 GB;Sony Exmor IMX 298   CMOS    4.71 x 3.3 mm    1.133 µm    12.98 MP    (back) ,  7.99 MP    (front);142.5 x 69.9 x 8.7 mm;150 g;no;2.0 , micro-B;microSD;nano , nano;?;;
smartphone;Android;Wiko;U Pulse;5.5’’;IPS;720 x 1280 px = HD;MediaTek MT6737;ARM Mali-T720 MP2;fingerprint , light , accelerometer , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;3 GB;CMOS     12.98 MP    (back) , 7.99 MP     (front);153.5 x 77.5 x 8.5 mm;167 g;no;2.0 , micro-B;microSD;micro;?;;
smartphone;Android;Wiko;View Prime;5.7’’;IPS;720 x 1440 px;Qualcomm Snapdragon 430;Qualcomm Adreno 505;fingerprint , light , proximity , accelerometer , compass , gyroscope;3000 mAh , Li-Polymer;64 GB;4 GB;CMOS     20.2 MP    (back) , 15.83 MP    (front);152.3 x 72.8 x 8.3 mm;162 g;no;2.0 , micro-B;microSD;micro , micro;Wiko UI;;
smartphone;Android;Motorola;Moto Z Force;5.5'';AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3500 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony Exmor IMX 230 RS    CMOS    5.99 x 4.5 mm    f/1.8    21.16 MP    (back) , 5.04 MP    (front);155.9 x 75.8 x 6.99 mm;163 g;no;2.0 , C;microSD;nano;?;;
smartphone;Android;Motorola;Moto Z2 Force;5.5’’;P-OLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;MotoMods , fingerprint , light , proximity , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS , Wi-Fi;2730 mAh , Li-Polymer;64 GB;4 GB;Sony IMX386 Exmor RS    CMOS    4.96x3.72mm    1.23μm    f/2.0    12.19 MP    (back) , 5.04 MP    (front);155.8 x 86 x 6 .1 mm;143 g;no;3.1 , C;microSD;nano;?;;
smartphone;Android;Google;Pixel;5'';AMOLED , 441 ppp;1080 x 1920 px = Full HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;? , daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;2770 mAh , Li-Ion;32 GB , 128 GB;4 GB;Sony IMX78     CMOS    f/2.0    6.25 x 4.65mm    1.544µm    12 MP    (back) , 8 MP    (front);143.8 x 69.5 x 8.6 mm;143 g;IP 53;3.0 , C;no;nano;Vanilla-like;;
smartphone;Android;Google;Pixel XL;5.5'';AMOLED , 577 ppp;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;? , daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3450 mAh , Li-Ion;32 GB , 128 GB;4 GB;Sony IMX78     CMOS    f/2.0    6.25 x 4.65mm    1.544µm    12 MP    (back) , 8 MP    (front);154.7 x 75.7 x 8.6 mm;152 g;IP 53;3.0 , C;no;nano;Vanilla-like;;
smartphone;Android;Google;Pixel 3;5.5’’;OLED;1080 x 2160 px = Full HD;Qualcomm Snapdragon 845;Qualcomm Adreno 630;? , Hall effect , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS , GLONASS , BeiDou , Galileo;2915 mAh , Li-Ion;64 GB , 128 GB;4 GB;CMOS    f/1.8    12.10 MP    1.4µm    (back) , 8.MP    (front);145.6 x 68.2 x 7.9 mm;148g;IP 68;3.1 , C;no;nano;Vanilla-like;;
smartphone;Android;Google;Pixel 3 XL;6.8’’;OLED;1440 x 2960 px = Quad HD;Qualcomm Snapdragon 845;Qualcomm Adreno 630;? , Hall effect , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS , GLONASS , BeiDou , Galileo;3430 mAh , Li-Ion;64 GB , 128 GB;4 GB;CMOS    f/1.8    12.10 MP    1.4µm    (back) , 8.MP    (front);158 x 76.6 x 7.9 mm;;IP 68;3.1 , C;no;nano;Vanilla-like;;
smartphone;Android;ZTE;Axon 7;5.5'';AMOLED , 538 ppp;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;daydream ready , Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3140 mAh , Li-Polymer;64 GB , 128 GB;4 GB , 6 GB;Samsung S5K2T8    ISOCELL    f/1.8    19.93 MP    (back) , 7.99 MP    (front);151,7 x 75 x 7,9 mm;175 g;no;3.0 , C;microSD;nano , nano;MiFavor;;
smartphone;Android;ZTE;Nubia Z11;5.5'';Corning Gorilla Glass 3 , IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;4 GB , 6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    f/2.0    1.132 µm    15.93 MP    (back) ,  7.99 MP    (front);151.8 x 72.3 x 7.7 mm;162 g;no;2.0 , C;microSD;nano , nano;Nubia 4.0;;
smartphone;Android;Nokia;Nokia 6;5.5’’;Corning Gorilla 3 , IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 430;Qualcomm Adreno 505;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;3 GB , 4 GB;CMOS    f/2.0    4.74 x 3.56    1.029µm    15.93 MP    (back) , 7.99 MP    (front);154 x 75.8 x 8.4 mm;169 g;no;2.0 , micro-B;microSD;nano;?;;
smartphone;Android;Nokia;Nokia 8;5.3’’;Corning Gorilla Glass 5 , IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , proximity , light , accelerometer , compass , barometer  , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3090 mAh , Li-Polymer;64 GB;4 GB;CMOS    f/2.0    12.98 MP    (back) , 12.98 MP    (front);151.5 x 73.7 x 7.9 mm;?;IP 54;3.1 , C;microSD;nano , nano;?;;
